Order ID,Order Date,Region,Category,Product Name,Quantity,Price,Sales,Profit
ORD-100000,2023-07-18,North,Office Supplies,Paper,4,115.49,461.96,108.15
ORD-100001,2024-05-14,North,Office Supplies,Envelope,1,19.75,19.75,2.07
ORD-100002,2023-02-12,North,Office Supplies,Envelope,9,212.66,1913.94,310.64
ORD-100003,2024-05-15,South,Technology,Laptop,6,142.55,855.3,88.8
ORD-100004,2024-02-18,North,Technology,Laptop,2,182.69,365.38,49.69
ORD-100005,2022-09-13,West,Technology,Laptop,7,44.01,308.07,37.98
ORD-100006,2023-01-29,East,Office Supplies,Envelope,2,27.68,55.36,5.92
ORD-100007,2022-07-26,South,Technology,Laptop,7,142.6,998.2,208.55
ORD-100008,2023-12-29,East,Technology,Monitor,4,336.74,1346.96,303.68
ORD-100009,2024-12-29,South,Office Supplies,Paper,4,85.88,343.52,49.76
ORD-100010,2023-10-27,South,Office Supplies,Envelope,1,118.38,118.38,6.87
ORD-100011,2022-05-16,East,Technology,Mouse,4,457.0,1828.0,350.6
ORD-100012,2024-10-19,South,Office Supplies,Notebook,7,442.92,3100.44,653.3
ORD-100013,2023-05-21,South,Furniture,Bookcase,9,271.79,2446.11,579.12
ORD-100014,2024-01-12,West,Technology,Printer,4,498.68,1994.72,168.72
ORD-100015,2022-08-13,North,Technology,Laptop,3,315.59,946.77,234.82
ORD-100016,2024-02-28,North,Technology,Printer,7,299.96,2099.72,350.68
ORD-100017,2022-08-23,North,Technology,Printer,9,376.68,3390.12,820.92
ORD-100018,2024-06-09,East,Technology,Laptop,3,229.59,688.77,198.68
ORD-100019,2024-11-05,South,Office Supplies,Notebook,2,435.91,871.82,108.64
ORD-100020,2022-11-10,South,Office Supplies,Envelope,6,382.44,2294.64,424.15
ORD-100021,2024-09-27,East,Office Supplies,Paper,1,60.37,60.37,8.5
ORD-100022,2023-05-09,North,Technology,Monitor,10,473.74,4737.4,338.31
ORD-100023,2022-09-20,South,Technology,Laptop,8,473.69,3789.52,345.91
ORD-100024,2023-03-10,West,Office Supplies,Envelope,9,378.86,3409.74,758.55
ORD-100025,2024-02-04,West,Office Supplies,Notebook,8,450.31,3602.48,586.74
ORD-100026,2023-11-24,North,Furniture,Table,1,296.21,296.21,31.85
ORD-100027,2022-05-01,North,Furniture,Chair,4,38.36,153.44,8.88
